#Values from Ras Mol. united radius approximately based in CHIME values							
#Element	Covalent Radius	vdW radius	United atom radius	Name	CPK-Red	CPK-Green	CPK-Bblue
H	0.32	1.1	0	Hydrogen	255	255	255
He	1.6	2.2	2.2	Helium	255	192	203
Li	0.68	1.22	1.22	Lithium	178	34	34
Be	0.352	0.628	0.628	Beryllium	255	20	147
B	0.832	1.548	1.548	Boron	0	255	0
C	0.72	1.548	1.8	Carbon	200	200	200
N	0.68	1.4	1.64	Nitrogen	143	143	255
O	0.68	1.348	1.46	Oxygen	240	0	0
F	0.64	1.3	1.3	Fluorine	218	165	32
Ne	1.12	2.02	2.02	Neon	255	20	147
Na	0.972	2.2	2.2	Sodium	0	0	255
Mg	1.1	1.5	1.5	Magnesium	34	139	34
Al	1.352	1.5	1.5	Aluminium	128	128	144
Si	1.2	2.2	2.2	Silicon	218	165	32
P	1.036	1.88	1.88	Phosphorus	255	165	0
S	1.02	1.808	1.808	Sulphur	255	200	50
Cl	1	1.748	1.748	Chlorine	0	255	0
Ar	1.568	2.768	2.768	Argon	255	20	147
K	1.328	2.388	2.388	Potassium	255	20	147
Ca	0.992	1.948	1.948	Calcium	128	128	144
Sc	1.44	1.32	1.32	Scandium	255	20	147
Ti	1.472	1.948	1.948	Titanium	128	128	144
V	1.328	1.06	1.06	Vanadium	255	20	147
Cr	1.352	1.128	1.128	Chromium	128	128	144
Mn	1.352	1.188	1.188	Manganese	128	128	144
Fe	1.34	1.948	1.948	Iron	255	165	0
Co	1.328	1.128	1.128	Cobalt	255	20	147
Ni	1.62	1.24	1.24	Nickel	165	42	42
Cu	1.52	1.148	1.148	Copper	165	42	42
Zn	1.448	1.148	1.148	Zinc	165	42	42
Ga	1.22	1.548	1.548	Gallium	255	20	147
Ge	1.168	3.996	3.996	Germanium	255	20	147
As	1.208	0.828	0.828	Arsenic	255	20	147
Se	1.22	0.9	0.9	Selenium	255	20	147
Br	1.208	1.748	1.748	Bromine	165	42	42
Kr	1.6	1.9	1.9	Krypton	255	20	147
Rb	1.472	2.648	2.648	Rubidium	255	20	147
Sr	1.12	2.02	2.02	Strontium	255	20	147
Y	1.78	1.608	1.608	Yttrium	255	20	147
Zr	1.56	1.42	1.42	Zirconium	255	20	147
Nb	1.48	1.328	1.328	Niobium	255	20	147
Mo	1.472	1.748	1.748	Molybdenum	255	20	147
Tc	1.352	1.8	1.8	Technetium	255	20	147
Ru	1.4	1.2	1.2	Ruthenium	255	20	147
Rh	1.448	1.22	1.22	Rhodium	255	20	147
Pd	1.5	1.44	1.44	Palladium	255	20	147
Ag	1.592	1.548	1.548	Silver	128	128	144
Cd	1.688	1.748	1.748	Cadmium	255	20	147
In	1.632	1.448	1.448	Indium	255	20	147
Sn	1.46	1.668	1.668	Tin	255	20	147
Sb	1.46	1.12	1.12	Antimony	255	20	147
Te	1.472	1.26	1.26	Tellurium	255	20	147
I	1.4	1.748	1.748	Iodine	160	32	240
Xe	1.7	2.1	2.1	Xenon	255	20	147
Cs	1.672	3.008	3.008	Caesium	255	20	147
Ba	1.34	2.408	2.408	Barium	255	165	0
La	1.872	1.828	1.828	Lanthanum	255	20	147
Ce	1.832	1.86	1.86	Cerium	255	20	147
Pr	1.82	1.62	1.62	Praseodymium	255	20	147
Nd	1.808	1.788	1.788	Neodymium	255	20	147
Pm	1.8	1.76	1.76	Promethium	255	20	147
Sm	1.8	1.74	1.74	Samarium	255	20	147
Eu	1.992	1.96	1.96	Europium	255	20	147
Gd	1.792	1.688	1.688	Gadolinium	255	20	147
Tb	1.76	1.66	1.66	Terbium	255	20	147
Dy	1.752	1.628	1.628	Dysprosium	255	20	147
Ho	1.74	1.608	1.608	Holmium	255	20	147
Er	1.728	1.588	1.588	Erbium	255	20	147
Tm	1.72	1.568	1.568	Thulium	255	20	147
Yb	1.94	1.54	1.54	Ytterbium	255	20	147
Lu	1.72	1.528	1.528	Lutetium	255	20	147
